NO.,所在地,名称,電話番号,詳細,指定避難所（市の呼称）,津波緊急避難所（市の呼称）,安全度ランク,避難生活施設（市の呼称）,洪水への対応,高潮への対応,土砂災害への対応,地震への対応,津波への対応,備考,緯度,経度
1,伊勢市宇治館町510,三重交通Ｇ スポーツの杜 伊勢 （三重県営総合競技場陸上競技場）,0596-22-0188,,TRUE,FALSE,☆☆☆,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,,34.4650159600000 ,136.73010640000 
2,伊勢市宇治今在家町511,高麗広公民館（ふれあい工房）,0596-25-9551,,TRUE,FALSE,▲,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,孤立,34.4150839400000 ,136.74346370000 
3,伊勢市宇治浦田2丁目16-43,進修小学校 校舎,0596-22-2427,,TRUE,TRUE,☆☆☆,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,自主,34.4694648600000 ,136.72168230000 
4,伊勢市宇治浦田2丁目16-43,進修小学校 屋内運動場,0596-22-2427,,FALSE,TRUE,▲,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,34.4694648600000 ,136.72168230000 
5,伊勢市中村町444,五十鈴中学校 校舎,0596-24-4888,,TRUE,TRUE,☆☆☆,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,34.4728698100000 ,136.72427580000 
6,伊勢市中村町444,五十鈴中学校 屋内運動場,0596-24-4888,,TRUE,TRUE,☆☆☆,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,34.4728698100000 ,136.72427580000 
7,伊勢市久世戸町5-1,修道小学校 校舎,0596-24-9694,,TRUE,TRUE,☆☆☆,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,34.4820811500000 ,136.72354090000 
8,伊勢市久世戸町5-1,修道小学校 屋内運動場,0596-24-9694,,TRUE,TRUE,☆☆☆,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,34.4820811500000 ,136.72354090000 
9,伊勢市岡本1丁目18-21,明倫小学校 校舎,0596-24-3199,２階以上,TRUE,TRUE,☆☆,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,34.4845451200000 ,136.71018560000 
10,伊勢市岡本1丁目18-21,明倫小学校 屋内運動場,0596-24-3199,,FALSE,FALSE,-,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,34.4845451200000 ,136.71018560000 
11,伊勢市岩渕1丁目2-29,いせ市民活動センター,0596-20-4385,２階以上,TRUE,TRUE,☆☆,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,34.4878614100000 ,136.70799020000 
12,伊勢市岩渕1丁目13-15,シンフォニアテクノロジー 響ホール伊勢（観光文化会館）,0596-28-5105,２階以上,TRUE,TRUE,☆☆,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,自主　,34.4883314800000 ,136.71260520000 
13,伊勢市船江2丁目2-5,有緝小学校 校舎,0596-28-2450,２階以上,TRUE,TRUE,☆☆,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,34.4973779100000 ,136.71592640000 
14,伊勢市船江2丁目2-5,有緝小学校 屋内運動場,0596-28-2450,,FALSE,FALSE,-,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,34.4973779100000 ,136.71592640000 
15,伊勢市一之木5丁目5-3,厚生中学校 校舎,0596-28-3703,２階以上,TRUE,TRUE,☆☆,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,34.5014881300000 ,136.70932690000 
16,伊勢市一之木5丁目5-3,厚生中学校 屋内運動場,0596-28-3703,,FALSE,FALSE,-,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,34.5014881300000 ,136.70932690000 
17,伊勢市一志町1-4,厚生小学校 校舎,0596-25-8386,２階以上,TRUE,TRUE,☆☆,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,34.4923003600000 ,136.70505600000 
18,伊勢市一志町1-4,厚生小学校 屋内運動場,0596-25-8386,,FALSE,FALSE,-,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,34.4923003600000 ,136.70505600000 
19,伊勢市宮後1丁目1-1,三交イン伊勢市駅前,0596-20-3539,２階以上,FALSE,TRUE,☆,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,民間,34.4916181500000 ,136.70828630000 
20,伊勢市宮後2丁目14-10,クレド宮後,-,２階以上,FALSE,TRUE,☆☆,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,民間,34.4940839900000 ,136.70966930000 
21,伊勢市八日市場町13-1,伊勢市社会福祉協議会福祉センター,0596-27-2425,２階以上,TRUE,TRUE,☆☆,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,民間 自主,34.4896360000000 ,136.69866800000 
22,伊勢市常磐3丁目10-19,早修小学校 校舎,0596-23-2993,,TRUE,TRUE,☆☆☆,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,34.4882336600000 ,136.69619890000 
23,伊勢市常磐3丁目10-19,早修小学校 屋内運動場,0596-23-2993,,TRUE,TRUE,☆☆☆,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,34.4882336600000 ,136.69619890000 
